id,sku,name,selling_price,mrp,asin,category,image_url
1,CV-001,Handcrafted Zendu Flowers Haar Marigold Garland 45 cm,498,599,,Garland,/cloudvibes/01_Handcrafted_Zendu_Flowers_Haar_Marigold_Garland_45_cm.jpg
2,CV-002,Traditional Maharashtrian Pearl Bangles,499,790,,Bangles,/cloudvibes/02_Traditional_Maharashtrian_Pearl_Bangles.jpg
3,CV-003,Handmade Chenille Daisy Flower Bag Charm and Keychain- PACK of 5,289,299,,Accessories,/cloudvibes/03_Handmade_Chenille_Daisy_Flower_Bag_Charm_and_Keychain_PACK_of_5.jpg
4,CV-004,Traditional Floral Pearl & Green Stone Double Line Mangalsutra,449,599,B0H9NXL9FN,Mangalsutra,/cloudvibes/04_Traditional_Floral_Pearl_Green_Stone_Double_Line_Mangalsutra.jpg
5,CV-005,"Traditional Maharashtrian Necklace, Nathani with pair of Earrings Set",749,1999,,Necklace Set,/cloudvibes/05_Traditional_Maharashtrian_Necklace_Nathani_with_pair_of_Earrings_Set.jpg
6,CV-006,Traditional Maharashtrian Floral Pearl Bangle,649,999,,Bangles,/cloudvibes/06_Traditional_Maharashtrian_Floral_Pearl_Bangle.jpg
7,CV-007,Traditional Maharashtrian Necklace and Earrings Set,649,999,B0HCM5T594,Necklace Set,/cloudvibes/07_Traditional_Maharashtrian_Necklace_and_Earrings_Set.jpg
8,CV-008,Traditional Double Line Black Bead Pearl Floral Mangalsutra,399,599,B0H9NYQXNB,Mangalsutra,/cloudvibes/08_Traditional_Double_Line_Black_Bead_Pearl_Floral_Mangalsutra.jpg
9,CV-009,Traditional Double Line Black Bead Peacock Mangalsutra,449,699,B0H9MRK6YK,Mangalsutra,/cloudvibes/09_Traditional_Double_Line_Black_Bead_Peacock_Mangalsutra.jpg
10,CV-010,Traditional Maharashtrian Angathi Set for Women,219,329,,Ring Set,/cloudvibes/10_Traditional_Maharashtrian_Angathi_Set_for_Women.jpg
11,CV-011,Pearl Necklace with Ruby Red Floral Pendant,299,429,B0H9JP6LN5,Necklace,/cloudvibes/11_Pearl_Necklace_with_Ruby_Red_Floral_Pendant.jpg
12,CV-012,Traditional Maharashtrian Moti Floral Necklace Set,649,999,B0H9JP634N,Necklace Set,/cloudvibes/12_Traditional_Maharashtrian_Moti_Floral_Necklace_Set.jpg
13,CV-013,Chandrakor Pendant Necklace with Green Crystal & Pearls,299,399,B0H9JP2QHS,Necklace,/cloudvibes/13_Chandrakor_Pendant_Necklace_with_Green_Crystal_Pearls.jpg
14,CV-014,Emerald Green Teardrop Necklace Set with Matching Earrings,429,499,,Necklace Set,/cloudvibes/14_Emerald_Green_Teardrop_Necklace_Set_with_Matching_Earrings.jpg
15,CV-015,Pearl Necklace with Ruby Teardrop Pendant Gold-Plated Chain,299,399,B0H9HWTFVX,Necklace,/cloudvibes/15_Pearl_Necklace_with_Ruby_Teardrop_Pendant_Gold_Plated_Chain.jpg
16,CV-016,Royal Chandrika Necklace,299,399,B0H9HTJRXY,Necklace,/cloudvibes/16_Royal_Chandrika_Necklace.jpg
17,CV-017,Ruby Bloom Floral Mangalsutra with Black Beads,299,399,B0H9HT5C2R,Mangalsutra,/cloudvibes/17_Ruby_Bloom_Floral_Mangalsutra_with_Black_Beads.jpg
18,CV-018,Pearl Flower Pendant Necklace with Green Stone Gold-Toned,299,419,B0H9HFXC99,Necklace,/cloudvibes/18_Pearl_Flower_Pendant_Necklace_with_Green_Stone_Gold_Toned.jpg
19,CV-019,Lotus Pearl Kundan Choker Necklace and Earrings Set,399,549,,Necklace Set,/cloudvibes/19_Lotus_Pearl_Kundan_Choker_Necklace_and_Earrings_Set.jpg
20,CV-020,Single Line Fancy Mangalsutra,299,399,B0H9G3GKVG,Mangalsutra,/cloudvibes/20_Single_Line_Fancy_Mangalsutra.jpg
21,CV-021,Traditional Maharashtrian Necklace and Earrings Set,649,899,,Necklace Set,/cloudvibes/21_Traditional_Maharashtrian_Necklace_and_Earrings_Set.jpg
22,CV-022,Traditional Nathani Nose Pin Set,875,999,,Nose Pin Set,/cloudvibes/22_Traditional_Nathani_Nose_Pin_Set.jpg
23,CV-023,Traditional Maharashtrian Jewellery Set,849,1149,,Jewellery Set,/cloudvibes/23_Traditional_Maharashtrian_Jewellery_Set.jpg
